Geo Point;Geo Shape;gml_id;GID;NOM_SITE_A;ESP_VISEE;ESP_DETAIL;TERRIT_P
44.826134324304036, -0.5988760796882622;"{""coordinates"": [-0.598876079688262, 44.826134324304036], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79861;79861;Jardin de la Béchade C 4;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.85402406958259, -0.6318264513232998;"{""coordinates"": [-0.6318264513233, 44.85402406958259], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79865;79865;Parc Monséjour 86;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.90125537971666, -0.5618886579819312;"{""coordinates"": [-0.561888657981931, 44.90125537971666], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79873;79873;Parc Floral D 47;OISEAU;FAUCON CRECERELLE;PT_BORDEAUX
44.85224819730487, -0.6049965787632341;"{""coordinates"": [-0.604996578763234, 44.85224819730487], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79877;79877;Parc Bordelais Jj 231 Lisière;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.849109349131126, -0.5757846083686671;"{""coordinates"": [-0.575784608368667, 44.849109349131126], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79882;79882;Jardin Public P 10 Lisière;OISEAU;ROUGEGORGE FAMILIER;PT_BORDEAUX
44.84257498961833, -0.585842709562652;"{""coordinates"": [-0.585842709562652, 44.84257498961833], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.84806;84806;Place des Martyrs de la Résistance A 25 Centre Ville;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.842892801725775, -0.585345007173446;"{""coordinates"": [-0.585345007173446, 44.842892801725775], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.84807;84807;Place des Martyrs de la Résistance B 14 Centre Ville;CHAUVE_SOURIS;CHRYSOPE;PT_BORDEAUX
44.842793319378515, -0.5860379950930164;"{""coordinates"": [-0.586037995093016, 44.842793319378515], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.84808;84808;Place des Martyrs de la Résistance A 1 Centre Ville;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.84258862749628, -0.5852954352037535;"{""coordinates"": [-0.585295435203753, 44.84258862749628], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.84810;84810;Place des Martyrs de la Résistance B 6 Centre Ville;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.85528709697896, -0.6028318114250042;"{""coordinates"": [-0.602831811425004, 44.85528709697896], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80027;80027;Parc Bordelais W 15 Espaces centraux;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.85012608973844, -0.5785708331128069;"{""coordinates"": [-0.578570833112807, 44.85012608973844], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79869;79869;Jardin Public T 11 Lac;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
