Geo Point;Geo Shape;gml_id;GID;NOM_SITE_A;ESP_VISEE;ESP_DETAIL;TERRIT_P
44.82496498108209, -0.5826971070140672;"{""coordinates"": [-0.582697107014067, 44.82496498108209], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79891;79891;Jardin des Dames de la foi 28;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.82485279489022, -0.5818885174108315;"{""coordinates"": [-0.581888517410831, 44.82485279489022], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79893;79893;Jardin des Dames de la foi 71;OISEAU;GRIMPEREAU DES JARDINS;PT_BORDEAUX
44.824891136246066, -0.5824360699076871;"{""coordinates"": [-0.582436069907687, 44.824891136246066], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79898;79898;Jardin des Dames de la foi 122;OISEAU;GOBEMOUCHE GRIS;PT_BORDEAUX
44.85437462387557, -0.5992931749468693;"{""coordinates"": [-0.599293174946869, 44.85437462387557], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79908;79908;Parc Bordelais S Lisière;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.88620214688763, -0.5389649262306322;"{""coordinates"": [-0.538964926230632, 44.88620214688763], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79913;79913;Parc des Berges de Garonne D 76;OISEAU;CHOUETTE HULOTTE;PT_BORDEAUX
44.84970556350323, -0.5793624952694811;"{""coordinates"": [-0.579362495269481, 44.84970556350323], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79915;79915;Jardin Public JB A 8 Jardin Botanique;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.85011631934097, -0.5807548938900732;"{""coordinates"": [-0.580754893890073, 44.85011631934097], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79920;79920;Jardin Public U 1 Espaces Centraux;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.84869748818537, -0.578055339140325;"{""coordinates"": [-0.578055339140325, 44.84869748818537], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79921;79921;Jardin Public G 16 Espaces Centraux;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.854524018887595, -0.6040382342703873;"{""coordinates"": [-0.604038234270387, 44.854524018887595], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79923;79923;Parc Bordelais Abris Uu Lac;OISEAU;ROUGEQUEUE NOIR;PT_BORDEAUX
44.854020094577976, -0.6305164392434941;"{""coordinates"": [-0.630516439243494, 44.854020094577976], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79924;79924;Parc Monséjour 11;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.84773397455367, -0.56429699156094;"{""coordinates"": [-0.56429699156094, 44.84773397455367], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79928;79928;Parc des Berges de Queyries Quai de Queyries_B 112;OISEAU;MOINEAU DOMESTIQUE;PT_BORDEAUX
44.84812735314189, -0.5794281579325548;"{""coordinates"": [-0.579428157932555, 44.84812735314189], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79930;79930;Jardin Public F 6 Aire de jeux-Entrée;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.85431464806744, -0.6005003906828041;"{""coordinates"": [-0.600500390682804, 44.85431464806744], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79932;79932;Parc Bordelais L 16 Chênaie;OISEAU;GOBEMOUCHE GRIS;PT_BORDEAUX
44.877460414808546, -0.5738700897295438;"{""coordinates"": [-0.573870089729544, 44.877460414808546], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79933;79933;Parc Denis et Eugène Bühler A 92;OISEAU;CHOUETTE HULOTTE;PT_BORDEAUX
44.84908891130452, -0.5761656362560668;"{""coordinates"": [-0.576165636256067, 44.84908891130452], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79984;79984;Jardin Public O12 Espaces Centraux;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.85357336830592, -0.5990873344310302;"{""coordinates"": [-0.59908733443103, 44.85357336830592], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79987;79987;Parc Bordelais H 24 Lisière;OISEAU;GRIMPEREAU DES JARDINS;PT_BORDEAUX
44.85025338756352, -0.6013862383611732;"{""coordinates"": [-0.601386238361173, 44.85025338756352], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79988;79988;Parc Bordelais G 21 Espaces centraux;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.85062039296851, -0.6013744869802635;"{""coordinates"": [-0.601374486980264, 44.85062039296851], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79990;79990;Parc Bordelais G 3 Espaces centraux;OISEAU;SITELLE TORCHEPOT;PT_BORDEAUX
44.85138361432764, -0.601082566778306;"{""coordinates"": [-0.601082566778306, 44.85138361432764], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79991;79991;Parc Bordelais F 89 Espaces centraux;OISEAU;ROUGEGORGE FAMILIER;PT_BORDEAUX
44.851499123708486, -0.6025678989717217;"{""coordinates"": [-0.602567898971722, 44.851499123708486], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79994;79994;Parc Bordelais Cc 48 Espaces centraux;OISEAU;GRIMPEREAU DES JARDINS;PT_BORDEAUX
44.854542409974805, -0.6009378727201115;"{""coordinates"": [-0.600937872720111, 44.854542409974805], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79996;79996;Parc Bordelais N 7 Chênaie;OISEAU;GOBEMOUCHE GRIS;PT_BORDEAUX
44.85148851648768, -0.603955941005387;"{""coordinates"": [-0.603955941005387, 44.85148851648768], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.79999;79999;Parc Bordelais Ee 50 Espaces centraux;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.849455382741574, -0.5802913651476924;"{""coordinates"": [-0.580291365147692, 44.849455382741574], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80001;80001;Jardin Public JB L 10 Jardin Botanique;OISEAU;ROUGEGORGE FAMILIER;PT_BORDEAUX
44.8546844587685, -0.6021682378071974;"{""coordinates"": [-0.602168237807197, 44.8546844587685], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80003;80003;Parc Bordelais Qr 50 Espaces centraux;OISEAU;ROUGEQUEUE A FRONT BLANC;PT_BORDEAUX
44.85426481716422, -0.6028071239454721;"{""coordinates"": [-0.602807123945472, 44.85426481716422], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80004;80004;Parc Bordelais Qr 44 Espaces centraux;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.85042269722834, -0.6016381904128913;"{""coordinates"": [-0.601638190412891, 44.85042269722834], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80007;80007;Parc Bordelais G 36 Espaces centraux;OISEAU;ROUGEGORGE FAMILIER;PT_BORDEAUX
44.85195380044732, -0.6028287186437341;"{""coordinates"": [-0.602828718643734, 44.85195380044732], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80008;80008;Parc Bordelais Cc 40 Espaces centraux;OISEAU;ROUGEQUEUE A FRONT BLANC;PT_BORDEAUX
44.85129561025599, -0.6011706493958795;"{""coordinates"": [-0.601170649395879, 44.85129561025599], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80010;80010;Parc Bordelais F 68 Espaces centraux;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.85192224342198, -0.6030117632955405;"{""coordinates"": [-0.603011763295541, 44.85192224342198], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80015;80015;Parc Bordelais Cc 30 Espaces centraux;OISEAU;SITELLE TORCHEPOT;PT_BORDEAUX
44.84922483635055, -0.57757625540709;"{""coordinates"": [-0.57757625540709, 44.84922483635055], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80020;80020;Jardin Public M 10 Aire de jeux-Ile aux enfants;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.88838774398652, -0.5403845572969557;"{""coordinates"": [-0.540384557296956, 44.88838774398652], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80021;80021;Parc des Berges de Garonne E 75;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.90296309191505, -0.5617190594207219;"{""coordinates"": [-0.561719059420722, 44.90296309191505], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80025;80025;Parc Floral J 213;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.85502234040775, -0.5869487128570092;"{""coordinates"": [-0.586948712857009, 44.85502234040775], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80026;80026;Parc Rivière Ruines Espaces centraux;OISEAU;MARTINET NOIR;PT_BORDEAUX
44.85158271455911, -0.6009652111461246;"{""coordinates"": [-0.600965211146125, 44.85158271455911], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80031;80031;Parc Bordelais F 53 Espaces centraux;OISEAU;MESANGE BLEUE;PT_BORDEAUX
44.85444128568523, -0.6041105633664147;"{""coordinates"": [-0.604110563366415, 44.85444128568523], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80032;80032;Parc Bordelais Abris Uu Lac;OISEAU;MOINEAU DOMESTIQUE;PT_BORDEAUX
44.855204365696046, -0.6016202114903123;"{""coordinates"": [-0.601620211490312, 44.855204365696046], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80033;80033;Parc Bordelais Abris O Chênaie;OISEAU;ROUGEQUEUE NOIR;PT_BORDEAUX
44.84776632397309, -0.5778174352081112;"{""coordinates"": [-0.577817435208111, 44.84776632397309], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80039;80039;Jardin Public H 12 Espaces Centraux;OISEAU;MESANGE CHARBONIERE;PT_BORDEAUX
44.84943364515927, -0.576679000308578;"{""coordinates"": [-0.576679000308578, 44.84943364515927], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80041;80041;Jardin Public O 20 Espaces Centraux;OISEAU;SITELLE TORCHEPOT;PT_BORDEAUX
44.84926256982205, -0.5783388899031706;"{""coordinates"": [-0.578338889903171, 44.84926256982205], ""type"": ""Point""}";_4ac15377-1d13-11eb-8cbe-11636db21fc6.80045;80045;Jardin Public C 14 Espaces Centraux;OISEAU;ROUGEQUEUE A FRONT BLANC;PT_BORDEAUX
